City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kavieng,-2.5744,150.7967,27.49,83,33,6.41,PG,1700338723
84,andergrove,-21.0833,149.1833,24.25,77,96,4.18,AU,1700338724
85,isafjordur,66.0755,-23.124,2.53,93,100,1.11,IS,1700338725
86,nampula,-15.1165,39.2666,24.97,78,0,5.14,MZ,1700338727
87,thanh hoa,19.8,105.7667,16.41,72,12,1.89,VN,1700338651
88,cambria,35.5641,-121.0808,17.64,100,93,0.89,US,1700338729
89,invercargill,-46.4,168.35,11.68,73,100,4.02,NZ,1700338730
90,dili,-8.5586,125.5736,26.43,71,11,1.78,TL,1700338547
91,new norfolk,-42.7826,147.0587,11.72,92,100,0.7,AU,1700338732
92,bilibino,68.0546,166.4372,-23.61,100,96,1.31,RU,1700338734
93,mount pearl,47.5166,-52.7813,11.19,90,100,8.23,CA,1700338584
94,bayramaly,37.6185,62.1671,10.86,54,10,3.51,TM,1700338736
95,ilulissat,69.2167,-51.1,2.01,60,100,8.23,GL,1700338737
96,fort st. john,56.2499,-120.8529,6.94,70,75,4.63,CA,1700338738
97,houdain,50.4504,2.5378,14.94,97,100,3.13,FR,1700338740
98,crane,31.3974,-102.3501,20.31,51,90,5.42,US,1700338741
99,poronaysk,49.2167,143.1167,1.76,76,85,9.32,RU,1700338742
100,nantucket,41.2835,-70.0995,11.08,90,100,10.8,US,1700338743
101,sisimiut,66.9395,-53.6735,-0.21,73,100,6.85,GL,1700338745
102,papatowai,-46.5619,169.4708,11.23,71,99,3.3,NZ,1700338746
103,tura,25.5198,90.2201,18.0,95,0,1.19,IN,1700338748
104,kogalym,62.2654,74.4791,-21.22,97,9,4.04,RU,1700338749
105,tiksi,71.6872,128.8694,-30.7,99,59,3.34,RU,1700338750
106,whitehorse,60.7161,-135.0538,-7.57,86,100,6.17,CA,1700338751
107,talnakh,69.4865,88.3972,-19.33,99,86,1.68,RU,1700338753
108,colonia,50.9333,6.95,10.89,91,100,4.12,DE,1700338580
109,tolanaro,-25.0319,46.9987,23.16,89,68,6.7,MG,1700338756
110,thunder bay,48.4001,-89.3168,7.99,36,20,6.17,CA,1700338733
111,olonkinbyen,70.9221,-8.7187,-1.1,85,97,4.92,SJ,1700338759
112,arno,60.1167,18.6333,-1.79,67,1,2.16,SE,1700338760
